price;longitude;latitude;total_square;living_square;kitchen_square;number_of_rooms;floor_number;number_of_floors
2290000.0;43.880258;56.227245;33.0;17.0;10.0;1;9;9
4150000.0;44.029172;56.296579;60.0;0.0;0.0;3;2;9
1270000.0;43.87123;56.269506;22.0;12.0;4.0;1;4;9
5600000.0;43.857243;56.258473;80.0;44.0;9.0;2;9;14
2750000.0;43.981031;56.278183;44.0;29.0;6.0;2;5;5
2400000.0;43.942269;56.291254;40.1;21.3;9.2;1;6;9
2850000.0;44.027483;56.297573;51.5;29.5;7.7;2;1;10
3300000.0;44.005986;56.326887;43.7;27.6;7.5;2;9;9
2700000.0;44.045761;56.3051;39.0;31.0;8.0;1;4;10
1750000.0;43.803944;56.360684;32.0;15.8;8.3;1;10;11
1650000.0;43.803944;56.360684;29.7;16.3;5.1;1;9;11
3682800.0;43.98303949;56.28798438;59.4;32.3;11.8;2;8;18
2100000.0;43.842659;56.341145;45.1;30.4;5.5;2;3;5
3100000.0;43.938038;56.302632;56.5;40.0;15.2;3;8;9
2301000.0;43.98303949;56.28798438;35.4;15.2;9.3;1;4;18
1800000.0;43.848206;56.292543;54.7;32.0;7.5;2;1;2
6900000.0;44.031425;56.322193;83.4;45.3;18.2;2;5;5
8800000.0;44.031425;56.322193;101.6;54.5;15.0;3;3;5
6700000.0;43.962301;56.332167;76.0;46.6;10.5;3;3;3
3780000.0;43.945853;56.22784;67.0;37.6;9.3;3;9;9
12599999.0;44.031425;56.322193;142.0;76.8;27.0;4;2;7
4100000.0;44.042251;56.285308;68.0;36.0;12.0;2;11;16
5900000.0;43.982208;56.321646;92.1;56.0;16.0;4;2;5
2200000.0;44.003381;56.292758;35.0;0.0;5.0;2;1;4
2585000.0;43.91463512;56.34385477;39.0;19.0;11.0;2;13;17
2955000.0;43.962023;56.331538;46.0;28.0;7.0;2;6;10
3050000.0;43.85833;56.223137;47.0;35.0;6.0;2;1;5
2800000.0;44.080331;56.2827;41.0;19.0;9.0;1;4;5
3750000.0;44.045512;56.285923;71.0;0.0;0.0;3;3;27
3850000.0;44.051405;56.313388;51.0;29.7;9.5;2;4;9
1850000.0;43.860145;56.233839;31.0;0.0;5.7;1;5;5
2100000.0;43.897093;56.312809;40.0;24.0;8.0;2;4;5
1300000.0;43.833347;56.231361;23.0;0.0;5.0;1;1;2
4200000.0;43.962014;56.332147;60.0;31.0;12.0;2;5;8
3250000.0;44.085056;56.282006;48.0;21.0;12.0;1;14;14
4500000.0;43.993051;56.296794;73.0;47.4;8.2;4;9;12
2850000.0;44.060155;56.299341;46.0;28.0;7.5;2;1;9
1330000.0;43.885127;56.305124;34.0;24.0;5.0;1;1;2
3100000.0;44.048216;56.288076;50.0;34.4;6.0;3;5;5
2800000.0;43.871527;56.334348;51.8;29.3;8.5;2;7;9
1750000.0;43.943706;56.318501;37.0;0.0;10.0;1;4;4
3000000.0;43.995467;56.324426;33.0;0.0;9.2;1;8;10
2050000.0;43.828542;56.237462;31.0;0.0;6.0;1;5;10
2850000.0;44.060155;56.299341;45.7;0.0;7.1;2;4;9
4700000.0;43.95613;56.238847;60.0;0.0;12.7;2;23;25
1600000.0;44.034562;56.199812;43.0;0.0;0.0;2;3;9
2160000.0;43.872748;56.316878;45.0;0.0;5.5;2;4;5
2950000.0;43.843805;56.236491;46.0;0.0;10.0;1;10;17
2800000.0;43.993931;56.328923;46.9;0.0;5.9;2;5;5
2700000.0;43.912633;56.27171;57.8;0.0;5.3;3;5;5
2700000.0;43.909777;56.342126;43.5;0.0;9.7;1;5;10
2500000.0;43.806003;56.344137;54.0;0.0;8.9;2;8;9
4390000.0;44.043805;56.302872;77.5;0.0;24.0;2;10;17
2850000.0;43.918005;56.293547;58.0;0.0;9.0;3;2;9
2340000.0;43.939107;56.285523;39.0;20.0;9.0;1;2;9
6300000.0;44.017979;56.312719;87.4;0.0;0.0;4;1;5
4200000.0;43.881076;56.335206;87.0;54.0;8.0;3;4;4
5800000.0;44.014134;56.317253;54.0;42.0;7.0;3;3;5
2595000.0;43.95701;56.232619;37.0;18.0;7.0;1;14;15
4650000.0;43.866038;56.249612;66.0;50.0;7.0;3;2;5
2150000.0;44.052986;56.316394;34.0;18.0;6.0;1;2;9
3500000.0;43.872703;56.225348;60.0;40.0;8.0;3;2;9
4295000.0;43.80974;56.367733;81.0;46.2;10.0;3;2;10
4000000.0;44.027088;56.30898;48.0;0.0;0.0;2;2;9
4200000.0;43.927114;56.340784;60.0;42.0;7.0;3;1;9
5000000.0;43.881103;56.329702;87.0;54.0;11.0;4;4;4
2450000.0;43.820394;56.230002;37.0;18.0;10.0;1;3;15
2200000.0;43.90647002;56.3438557;32.0;16.0;8.0;1;2;10
4700000.0;44.056535;56.298692;86.6;55.5;9.0;4;7;9
1000000.0;43.844586;56.306018;25.0;18.0;6.0;1;5;9
5155200.0;43.97661922;56.30044324;71.6;31.1;11.4;2;3;25
3030000.0;43.861152;56.231043;58.0;0.0;0.0;3;1;5
5450640.0;43.99836552;56.3038439;104.82;59.83;17.89;3;8;18
1340000.0;44.075238;56.295295;19.5;10.0;5.0;1;10;19
1500000.0;43.804476;56.346043;33.0;18.5;7.0;1;5;5
2953200.0;0.0;0.0;42.8;17.94;9.34;1;8;17
1700000.0;43.878129;56.317422;28.0;13.0;8.0;1;6;9
2250000.0;43.924428;56.310682;66.0;41.0;6.0;3;5;5
2450000.0;43.882396;56.336548;50.0;29.0;8.0;2;2;5
2550000.0;43.822137;56.360945;47.0;32.0;7.5;2;9;9
2370000.0;43.845368;56.358627;44.0;28.0;7.0;2;6;9
3500000.0;43.861735;56.354941;63.0;44.0;7.5;3;3;9
2350000.0;43.882396;56.336548;42.8;25.2;12.4;2;5;5
2588800.0;43.93169633;56.27276576;40.45;16.0;12.0;1;12;14
3000000.0;43.912508;56.326972;40.0;27.0;6.0;2;1;5
2100000.0;43.884723;56.312824;45.0;34.0;5.0;2;1;5
2150000.0;43.874796;56.314267;40.0;27.0;6.0;2;3;5
3882000.0;0.0;0.0;61.7;32.2;10.3;2;5;8
5490000.0;43.850479;56.250917;79.7;54.0;11.0;4;1;9
2800000.0;44.033457;56.317053;36.0;0.0;0.0;1;8;9
4050000.0;43.939053;56.29415;80.0;56.2;9.2;4;7;9
3671020.0;43.98455169;56.28813727;59.2;35.3;9.74;2;6;18
10150000.0;44.011089;56.310632;97.0;55.0;15.0;3;10;12
13000000.0;44.01461;56.32532;108.0;72.0;12.0;4;6;8
4112000.0;43.997116;56.3045;42.0;18.0;14.0;1;19;19
2930000.0;43.852896;56.360427;46.0;28.0;8.0;2;9;9
2200000.0;43.98643;56.294741;30.4;0.0;6.0;1;1;3
1990000.0;43.99472;56.28913;39.6;28.0;6.2;2;1;3
1750000.0;43.948791;56.279802;32.7;25.0;6.0;1;5;5
2490000.0;43.954989;56.329906;40.0;27.0;6.0;2;3;5
2800000.0;44.018428;56.324376;45.6;30.8;6.2;3;2;2
1550000.0;44.033466;56.310947;19.0;14.0;1.0;1;3;5
2870000.0;43.98413;56.296249;48.3;27.5;7.4;2;3;5
3350000.0;43.936969;56.345369;56.2;32.1;9.0;2;3;9
3320000.0;43.906318;56.343658;56.0;42.0;11.0;2;6;10
