price;longitude;latitude;total_square;living_square;kitchen_square;number_of_rooms;floor_number;number_of_floors;pricePerSquare
3000000.0;43.912508;56.326972;40.0;27.0;6.0;2;1;5;75000.0
2100000.0;43.884723;56.312824;45.0;34.0;5.0;2;1;5;46666.666666666664
2150000.0;43.874796;56.314267;40.0;27.0;6.0;2;3;5;53750.0
5490000.0;43.850479;56.250917;79.7;54.0;11.0;4;1;9;68883.31242158092
4050000.0;43.939053;56.29415;80.0;56.2;9.2;4;7;9;50625.0
3671020.0;43.98455169;56.28813727;59.2;35.3;9.74;2;6;18;62010.47297297297
2930000.0;43.852896;56.360427;46.0;28.0;8.0;2;9;9;63695.65217391304
1990000.0;43.99472;56.28913;39.6;28.0;6.2;2;1;3;50252.52525252525
1750000.0;43.948791;56.279802;32.7;25.0;6.0;1;5;5;53516.81957186544
2490000.0;43.954989;56.329906;40.0;27.0;6.0;2;3;5;62250.0
2800000.0;44.018428;56.324376;45.6;30.8;6.2;3;2;2;61403.508771929824
2870000.0;43.98413;56.296249;48.3;27.5;7.4;2;3;5;59420.289855072464
3350000.0;43.936969;56.345369;56.2;32.1;9.0;2;3;9;59608.5409252669
3320000.0;43.906318;56.343658;56.0;42.0;11.0;2;6;10;59285.71428571428
2400000.0;43.914718;56.338015;35.0;17.0;8.6;1;5;10;68571.42857142857
2888000.0;43.951423;56.281236;64.0;40.0;7.5;3;9;9;45125.0
2400000.0;43.810046;56.202376;45.9;34.0;6.0;2;2;5;52287.58169934641
6200000.0;43.938864;56.343743;94.0;55.0;13.0;3;5;12;65957.44680851063
2450000.0;44.04209;56.287252;45.0;17.6;9.0;1;8;17;54444.444444444445
2800000.0;43.885433;56.334652;58.3;37.0;7.0;2;4;5;48027.44425385935
1650000.0;43.837579;56.241374;36.4;26.6;4.4;2;1;2;45329.670329670334
1670000.0;43.833618;56.234535;30.8;16.1;6.2;1;3;5;54220.77922077922
3100000.0;44.08397334;56.27798456;53.1;25.4;9.3;2;19;19;58380.4143126177
2800000.0;43.922012;56.277093;57.0;42.0;6.0;4;1;5;49122.80701754386
1800000.0;43.876575;56.330221;30.0;19.0;6.0;1;4;5;60000.0
1520000.0;43.935837;56.31441;31.0;17.0;6.0;1;6;6;49032.25806451613
1900000.0;43.856094;56.332935;29.0;17.2;5.9;1;2;5;65517.24137931035
2850000.0;43.95836;56.23996;36.0;20.0;6.0;1;21;25;79166.66666666667
4950000.0;43.991784;56.325379;74.0;52.0;11.0;4;1;2;66891.8918918919
3550000.0;44.075238;56.295295;48.0;15.0;11.0;1;15;19;73958.33333333333
4254900.0;43.981868;56.259582;65.5;33.0;13.8;2;8;17;64960.30534351145
2511000.0;43.924042;56.303591;60.0;31.0;16.0;2;10;27;41850.0
6200000.0;44.065069;56.285079;72.5;40.0;11.0;2;7;16;85517.24137931035
4519900.0;43.97661922;56.30044324;58.7;33.9;11.0;2;13;25;77000.0
2550000.0;43.826413;56.362237;54.0;40.0;6.0;3;1;4;47222.22222222222
3500000.0;43.931049;56.321825;43.0;18.0;10.4;1;10;12;81395.3488372093
3000000.0;43.955869;56.328858;38.0;26.3;4.0;2;3;5;78947.36842105263
2000000.0;44.043603;56.285523;42.0;18.0;10.0;1;14;26;47619.04761904762
3550000.0;44.042099;56.287267;68.0;35.0;12.0;2;9;17;52205.882352941175
3060000.0;44.0299;56.302153;60.0;34.0;15.0;2;12;27;51000.0
2550000.0;43.844649;56.246416;61.2;45.5;5.4;3;1;5;41666.666666666664
3186400.0;43.822326;56.230107;56.9;29.6;12.05;2;7;10;56000.0
3800000.0;43.854656;56.31235;84.0;50.0;15.0;3;3;3;45238.09523809524
2000000.0;43.831138;56.341583;45.0;28.0;7.0;2;1;9;44444.444444444445
2208000.0;43.9747867;56.24741313;44.4;17.8;13.0;1;10;10;49729.729729729734
